undefinedकहाँ;where - kahaan
टमाटर;tomato - tamaatar
घर;home, house - ghar
पैसे;money, coins - paiSe
सुनना ;to hear - suNNaa
दोबारा;again, afresh - Dobaara
बनाना;to make - baNaaNaa
तक;until, till - Tak
सोचना;to think - SocNaa
मिलना;to meet - miLNaa
मुर्गी;chicken - murgii
बेटा;child, son - beTaa
आगे;ahead, in front - aage
सीधे;straight - siiDHe
बजे;time, o'clock - baje
शुरू;start - shuroo
समय;time  - samay
लेकिन;but - lekin
भाई;brother - bhaai
आज 	;today 	 - aaj 	
धोना;to wash - DHoNaa
महीने;month - mahine
खाना ;food - khaaNaa
रोकना;to stop (transitive) - rokanaa
बिरयानी ;biryani, spicy fried rice - biryaaNii
मालूम;known, know well - maaloom
चालीस;forty (40) - CHaaliis
सत्तर;seventy (70) - saTTar
अस्सी;eighty - assii
कितना;how much - kiTnaa
शायद;maybe - shaayad 	
उसे 	;to him,her - use
कल;tomorrow or yesterday - kal
बर्तन;pot, bowl (steel containers) - barTaN
नहाना;to take a bath or a shower - nahana
भेजना;to send - BHejnaa
तस्वीर;picture, photo, painting, portrait - Tasveer
मुश्किल;difficult - mushkil
थोड़ा;a little, some - thoda
पता;to know - paTa
चावल ;rice - caavaL
जन्मदिन;birthday - jaNmaDiN
दस;ten - Das
दूध;milk - DooDH
परीक्षा;test - pariiksaa
मीठा;sweet - miithaa
साबुन ;soap - Saabun
थोड़ी सी;a little - thodii sii
कम;less, lesser - kam
साथ;with, together - saath
नमक;salt - Namak
छुट्टी;holiday, break - chhutti
काफी;quite, enough - kaafii
मिलना;to get, to catch - miLNaa
इतनी;this much - iTnii
अब;now - ab
 दवाई लेना ;to take medicine -  Davaaii LeNaa
वक्त;time, moment - vakT
दर्द;pain - DarD
बाद;after, later - baaD
फिसलना ;to slip on (something) - phiSaLNaa
चोट लगना;to get hurt - cot LagNaa
शुकर है ;thank goodness - sukar hai
आराम ;rest - aaraam
बिलकुल;completely, absolutely - biLkuL
बालों;hair (plural) - baaLon
या फिर ;or - yaa phir
हाथों;hands - haaTHon
बड़ा वाला ;the big one - badaa vaaLaa
बोतल;bottle - boTaL
दूसरा;second, other - DuSraa
रस्ता, रास्ता;road, way - raSTaa,raaSTaaर
बनना;to be made - baNNa
पहला वाला;first one, regular one - pahLaa vaaLaa
बंद;closed, blocked - baND
वहाँ;there - vahaan
हफ्ता;week - haphTaa
करना चाहिए;should do - karNaa caahie
इस बार ;this time - iS baar
पढ़ेगा;must do,will have to - parhegaa
बताना;to tell - baTaaNaa
मज़ा;fun -  mazaa
तभी;that’s why - Tabhii
तैयारी;preparation - Taiyaarii
ठीक;fine, good - thiik
देखतें हैं;let’s see, we’ll see - DekhTen hain
घबराहट;nervousness - ghabraahat
ज़रूर;definitely, certainly, surely - zaruur
लेना;to take or buy - Lena
हज़ार;thousand - hazaar
सौ;hundred - Sau
कुछ;some - kuch
साड़े ग्यारह;half-past eleven - Saade gyaaraah
पक्का;confirmed - pakkaa
पिछले;last - pichLe
अगले;next - agLe
नहीं होना;to not be - Nahiin hoNaa
वापस;return, back - vvaapaS
अरे;Oh! - are
ले आना;to bring - Le aaNaa
समझ;understanding, comprehension - Samajh
दोस्त;friend - DoST
खूबसूरत;beautiful - khuubSuuraT
शनिवार;Saturday - saNivaar
मंगनी;engagement ceremony - maNgNii
करीब;close, near - Karib
रिश्तेदार;relative, relatives - risTeDaar
पड़ोसी;neighbor(s) - padoSii
बधाई;congratulations, greetings - baDhaaii
ऐसा;like this, such   noun - aiSaa
दूरी;far-ness, distance - Duurii
लाइन लगना;to form a line - LaaiN LagNaa
प्रचार;promotion - pracaar
बड़े;big - bade
जमा;gathered - jamaa
विज्ञापन;advertisement - vigyaapaN
पसन्द;liking - paSaND
तामिल;Tamil, people and culture from Tamil Nadu in southern India - TaamiL
रंगोली;large colorful design, made on the floor with flower petals or colored powders - raNgoLii
पकाना;to cook - pakaaNaa
रिवाज़;tradition, ritual - rivaaz
आसान;easy - aaSaaN
दही;yogurt - Dahii
डालना;to put in, to put on something - daaLNaa
फेंटना;to whip - pheNtNaa
जल्दी;quick, quickly - jaLDii
ठन्ड;cold - thaNd
आप के यहाँ;at your place - aap ke yahaan
पड़ना;to fall (for weather only) - padNaa
पहले;before - pahLe
पर;but (colloquial) - par
घंटा;hour - ghaNtaa
इंतज़ार;wait - iNTazaar
वैसे;like that, by the way - vaiSe
बीच; in the middle, in between - biic
छूटना ;to miss (transportation) - chuutNaa
रुकना;to stop, to wait - ruukNaa
शान्ती;peace - saaNTii
रायता;seasoned yogurt dish - raayTaa
शिक कबाब;skewered meat kabab - “Shish Kebab” - sik kabaab
माफ़ कीजिए;Please excuse me - maaf kiijie
बदले में;as a substitute, instead - baDLe mein
तंदूरी;skewered roasted meat - TaNDuurii
हो सके ;if possible - ho Sake
मलाई;cream, clotted cream - maLaaii
कितने के;for how much - kiTNE ke
पंचीस;25 - panchiiS
ज़्यादा;lot, more - zyaaDaa
दाम;cost - Daam
चलिए;all right - caLie
बढ़िया;excellent - barhiyaa
सुगंध;aroma, fragrance - sugaNDH
वैसे तो;in that sense - vaiSe To
बस;only, just - baS
इलाइची;cardamom - iLaaicii
निकलना;to come out, to leave - NikaLNaa
कुछ भी नहीं;nothing at all - kuch bhii Nahiin
देखनी है ;have to watch - DekhNii hai
बुलाना;to call or invite - buLaaNaa
श्याम;evening - syaam
यार;friend, used very colloquially in the same way as “dude” - yaar
तै;decided, confirmed - tai
परसों;day after tomorrow OR day before yesterday - parSon
दोपहर;afternoon - Dopahar
पैदल;by foot - paiDaL
पीछे;behind, in the back - piichhe
गाड़ी;car - gaadii
दायें;right - Daayen
बायें;left - baayen
लोगों;people - Logon
घर पे बुलाना;to invite home - ghar pe buLaaNaa
अच्छा लगना;to be pleased, to like - acchaa LagNaa
पहूँचना;to reach - pahuuncNaa
लेकर आना;to bring - Lekar aanaa
तैयार;ready - Taiyaar
जगह;place - jagah
याद ;remember, memory - yaaden 
बात;matter,talk - baaT
करनी थी;have to do - karNii THii
पौधे;plants - pauDHe
बार;number of times - baar
मेहरबानी;favor, mercy - meharbaaNii
बड़ी बात;big deal - badii baaT
जगाना;to wake up [someone], transitive - jagaaNaa
उठना; to get up (intransitive verb) - uthNaa
लेटना;to lie down - LetNaa
मुश्किल;difficult, difficulty - muskiL
छोड़ देना;to drop off - chod DeNaa
पकड़ना;to catch - pakadNaa
ख़राब;bad - kharaab
काम पे आना;to come to work - kaam pe aaNaa
तेज़;high,  fast - Tez
बुखार;fever - bukhaar
उतरना;to decrease, to come down - uTarNaa
ख़याल;care - khayaaL
रविवार ;Sunday - ravivaar
बर्फ़;ice - barf
